,latitude,longitude,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,municipality,neighborhood,newDevelopment,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url,parkingSpace
0,44.404148,8.938015,Via Santa Chiara,2,it,{'typology': 'flat'},25,Centro Est,0,87 (66422287),2,0,0,1,1,0,Genova,Carignano,0,18,sale,370000,1947,13847994,flat,Genova,6,0,190,renew,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Santa Chiara'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/d7/5f/9d/211379372.jpg,https://www.idealista.it/immobile/13847994/,0
1,44.403827,8.93807,Via Fieschi,2,it,{'typology': 'flat'},56,Centro Est,0,VENDITA VIA FIESCHI (2437923),7,0,0,1,1,0,Genova,Carignano,0,11,sale,400000,1667,16342533,flat,Genova,9,0,240,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Fieschi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/cb/c9/194370919.jpg,https://www.idealista.it/immobile/16342533/,0
2,44.404003,8.939101,Venti settembre,1,it,{'typology': 'flat'},77,Centro Est,0,,1,0,0,0,0,0,Genova,San Vincenzo-Portoria,0,0,sale,15000,150,17440248,flat,Genova,3,0,100,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Venti settembre'}",,https://www.idealista.it/immobile/17440248/,0
3,44.405017,8.938663,"Via dei Sansone, 4",1,it,{'typology': 'flat'},84,Centro Est,0,,6,0,0,1,1,0,Genova,Carignano,0,28,sale,245000,3500,17478069,flat,Genova,3,1,70,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via dei Sansone, 4'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/a9/94/a5/216493858.jpg,https://www.idealista.it/immobile/17478069/,1
4,44.405185,8.938678,Via dei Sansone s.c.n,1,it,{'typology': 'flat'},102,Centro Est,0,Carignano 6 vani (54886953),0,0,0,1,1,0,Genova,Carignano,0,18,sale,215000,1955,15219030,flat,Genova,3,1,110,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via dei Sansone s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3f/50/ff/173853650.jpg,https://www.idealista.it/immobile/15219030/,1
5,44.404905,8.93934,Corso Andrea Podestà s.c.n,2,it,{'typology': 'flat'},109,Centro Est,0,547,8,0,0,1,0,0,Genova,Carignano,0,20,sale,490000,4083,17588950,flat,Genova,7,1,120,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Corso Andrea Podestà s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/21/5d/4f/218872016.jpg,https://www.idealista.it/immobile/17588950/,0
6,44.405158,8.93739,Via alla Porta degli Archi,2,it,{'typology': 'flat'},114,Centro Est,0,VENDITA APPARTAMENTO PORTA ARCHI (2141098),7,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,10,sale,450000,2250,13666223,flat,Genova,8,0,200,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via alla Porta degli Archi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/62/6c/e6/163820251.jpg,https://www.idealista.it/immobile/13666223/,0
7,44.404011,8.936753,"Salita di Santa Maria in Via Lata, 1 c",1,it,{'typology': 'flat'},122,Centro Est,0,,0,0,0,0,1,0,Genova,Carignano,0,20,sale,108000,982,17673740,flat,Genova,6,1,110,renew,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Salita di Santa Maria in Via Lata, 1 c'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/53/52/47/220843530.jpg,https://www.idealista.it/immobile/17673740/,0
8,44.405428,8.938134,quartiere San Vincenzo-Portoria,2,it,{'typology': 'flat'},123,Centro Est,0,21711255-28,0,0,0,0,1,0,Genova,San Vincenzo-Portoria,0,33,sale,390000,2241,17498089,flat,Genova,9,0,174,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/d8/92/10/216953454.jpg,https://www.idealista.it/immobile/17498089/,0
9,44.4042,8.939991,"FRUGONI, 13",4,it,{'typology': 'flat'},140,Centro Est,0,,4,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,6,sale,395000,1411,16446187,flat,Genova,12,1,280,renew,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in FRUGONI, 13'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/4c/09/58/196129232.jpg,https://www.idealista.it/immobile/16446187/,0
10,44.403437,8.939499,Via Giuseppe Macaggi,1,it,{'typology': 'flat'},140,Centro Est,0,Centro Macaggi (61703246),0,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,14,sale,175000,1522,11806012,flat,Genova,4,0,115,,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Giuseppe Macaggi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/cc/e3/165238540.jpg,https://www.idealista.it/immobile/11806012/,0
11,44.40435,8.940059,Via XX Settembre,2,it,{'typology': 'flat'},145,Centro Est,0,1674473 (1674473),3,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,29,sale,690000,2634,15778783,flat,Genova,8,0,262,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via XX Settembre'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/f9/34/26/183463448.jpg,https://www.idealista.it/immobile/15778783/,0
12,44.404314,8.936351,Via Fieschi s.c.n,1,it,{'typology': 'flat'},149,Centro Est,0,8665,5,0,0,1,1,1,Genova,Carignano,0,19,sale,158000,1904,17116274,flat,Genova,5,1,83,renew,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Fieschi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/c1/e6/83/209669355.jpg,https://www.idealista.it/immobile/17116274/,1
13,44.405394,8.936981,Via Fieschi,1,it,{'typology': 'flat'},155,Centro Est,0,-2495258,6,0,0,1,1,0,Genova,Carignano,0,37,sale,90000,3600,16943539,flat,Genova,2,0,25,,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Fieschi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/14/77/31/205625645.jpg,https://www.idealista.it/immobile/16943539/,0
14,44.404727,8.93627,Via fieschi s.c.n,2,it,{'typology': 'flat'},162,Centro Est,0,,1,0,0,1,0,0,Genova,Carignano,0,10,sale,280000,1931,15736910,flat,Genova,6,1,145,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via fieschi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3c/7c/9f/182762948.jpg,https://www.idealista.it/immobile/15736910/,0
15,44.403535,8.93641,Piazza Santa Maria in Via Lata s.c.n,1,it,{'typology': 'flat'},168,Centro Est,0,01-Lata 120mq,6,0,0,1,1,0,Genova,Carignano,0,20,sale,440000,3667,17510485,flat,Genova,6,1,120,,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Piazza Santa Maria in Via Lata s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/98/42/2a/217199148.jpg,https://www.idealista.it/immobile/17510485/,0
16,44.404396,8.936082,Via fieschi s.c.n,1,it,{'typology': 'flat'},170,Centro Est,0,-54358879,4,0,0,1,0,0,Genova,Carignano,0,11,sale,155000,1615,13422540,flat,Genova,4,1,96,renew,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via fieschi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/76/ec/00/132408242.jpg,https://www.idealista.it/immobile/13422540/,1
17,44.404459,8.940398,Vico san vincenzo,1,it,{'typology': 'flat'},172,Centro Est,0,V034 (1373658),1,0,0,0,0,0,Genova,San Vincenzo-Portoria,0,18,sale,105000,2625,17687261,flat,Genova,2,0,40,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Vico san vincenzo'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/34/47/221093016.jpg,https://www.idealista.it/immobile/17687261/,0
