,index,address,bathrooms,country,detailedType,distance,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
0,0,Via Belvedere s/n,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599943,False,Giovanni,,False,False,,False,False,41.8919683,14.7850962,Palata,False,12,sale,,25000.0,313.0,14290868,chalet,Campobasso,3,True,80.0,renew,"{'subtitle': 'Palata', 'title': 'Casa independiente en Via Belvedere s/n'}",https://img3.idealista.it/blur/WEB_LISTING/90/id.pro.it.image.master/6f/2f/83/148030211.jpg,https://www.idealista.it/immobile/14290868/
1,1,Cuglieri,1,it,{'typology': 'flat'},599935,False,Impronte,en,False,False,False,False,False,40.0912163,8.4959759,Cuglieri,False,13,sale,,130000.0,2600.0,10448174,flat,Oristano,2,False,50.0,good,"{'subtitle': 'Cuglieri', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0a/0f/f6/73606907.jpg,https://www.idealista.it/immobile/10448174/
2,2,"Via Fiume, 103",2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599929,False,VRA-1577,,False,False,,False,False,41.556948,14.324693,Castelpetroso,False,9,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",110000.0,550.0,17582375,chalet,Isernia,7,True,200.0,good,"{'subtitle': 'Castelpetroso', 'title': 'Casa independiente en Via Fiume, 103'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/49/64/f1/218690944.jpg,https://www.idealista.it/immobile/17582375/
3,3,Lungomare nord,1,it,{'typology': 'flat'},599877,False,T0009,bj,False,False,False,False,True,42.0153769,14.936035,Termoli,False,9,sale,,160000.0,2667.0,17574361,flat,Campobasso,2,False,60.0,good,"{'subtitle': 'Termoli', 'title': 'Piso en Lungomare nord'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/2f/7f/a4/218485614.jpg,https://www.idealista.it/immobile/17574361/
4,4,Contrada Pietravalle s/n,1,it,"{'typology': 'chalet', 'subTypology': 'villa'}",599650,False,131,,False,False,,True,False,41.7042057,14.5313285,Salcito,False,23,sale,,250000.0,625.0,15888256,chalet,Campobasso,7,True,400.0,good,"{'subtitle': 'Salcito', 'title': 'Villa en Contrada Pietravalle s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/2d/ec/185889848.jpg,https://www.idealista.it/immobile/15888256/
5,5,Acquaviva Collecroce,0,it,{'typology': 'flat'},599641,False,AG32,,False,False,False,False,False,41.8668737,14.7480721,Acquaviva Collecroce,False,9,sale,,12000.0,105.0,14968037,flat,Campobasso,5,False,114.0,renew,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/63/4a/e5/169873321.jpg,https://www.idealista.it/immobile/14968037/
6,6,Acquaviva Collecroce,1,it,{'typology': 'flat'},599640,False,AG35,1,False,False,False,False,False,41.8666859,14.747817,Acquaviva Collecroce,False,6,sale,,48000.0,632.0,14968298,flat,Campobasso,3,False,76.0,renew,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ab/39/fb/169876272.jpg,https://www.idealista.it/immobile/14968298/
7,7,Acquaviva Collecroce,4,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599637,False,AG37,,False,False,,False,False,41.8671859,14.748417,Acquaviva Collecroce,False,13,sale,,380000.0,844.0,14968428,chalet,Campobasso,7,False,450.0,good,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6e/9a/05/169878370.jpg,https://www.idealista.it/immobile/14968428/
8,8,Termoli,2,it,{'typology': 'chalet'},599626,False,108 (57562466),,False,False,,False,False,42.0140005,14.9303147,Termoli,False,4,sale,,130000.0,1444.0,14608502,chalet,Campobasso,3,False,90.0,,"{'subtitle': 'Termoli', 'title': 'Chalet'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/c0/54/f5/154441830.jpg,https://www.idealista.it/immobile/14608502/
9,9,Sipicciano s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599512,False,,,False,False,,False,False,41.3225611,13.9452905,Galluccio,False,40,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",100000.0,250.0,12316584,chalet,Caserta,10,True,400.0,renew,"{'subtitle': 'Galluccio', 'title': 'Casa independiente en Sipicciano s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/4f/be/106406151.jpg,https://www.idealista.it/immobile/12316584/
