key
wheelchair yes
wheelchair limited
waterway ditch
water river
water reservoir
water intermittent
voltage 69000
voltage 63000
voltage 600
voltage 400000
voltage 345000
voltage 25000
voltage 230000
voltage 220000
voltage 22000
voltage 20000
voltage 15000
voltage 138000
voltage 35000
vehicle no
usage main
usage branch
type public_transport
tunnel culvert
tunnel building_passage
trees olive_trees
trees coffea_plants
transformer distribution
trailblazed yes
trail_visibility horrible
trail_visibility good
trail_visibility excellent
trail_visibility bad
traffic_sign NL:G11
tracktype grade3
tracks 2
traces 1
tourism motel
voltage 66000
tourism information
tourism hotel
tourism guest_house
tourism chalet
tourism artwork
toll yes
toilets yes
tidal yes
tents yes
taxon Acer platanoides
takeaway yes
tactile_paving yes
surveillance public
surface wood
surface sand
surface paved
surface mud
surface metal
surface gravel
surface grass
surface fine_gravel
surface dirt
surface concrete:plates
surface concrete
surface asphalt
substation minor_distribution
substance oil
substance gas
structure_gauge GC
structure tubular
street_cabinet power
stream perennial
stream intermittent
stream ephemeral
stop minor
























waterway river
stars 3
sport tennis
sport soccer
sport skateboard
sport running
sport multi
sport golf
sport bowls
species Tilia platyphyllos
species Tilia cordata
species Platanus x hispanica
species Fraxinus excelsior
species Carpinus betulus
species Aesculus hippocastanum
species Acer saccharum
sport baseball
species Acer rubrum
species Acer pseudoplatanus
species Acer campestre
tracktype grade5
trolleybus yes
unisex yes
trolley_wire yes
wheelchair no
voltage 1500
voltage 115000
tracktype grade4
triangulation_point yes
type route
takeaway 
craft 
abandoned:highway 
support 
KSJ2:AdminArea 
entrance yes
indoor yes
lbcs:function:code 
icao 
denotation avenue
source_date 
min_height 
strazakosm:send_date 
trail_visibility intermediate
place plot
aeroway parking_position
area:highway 
amenity bus_station
fax 
old_ref_legislative 
location 
horse 
gauge 
massgis:IT_VALC 
landuse industrial
salt yes
emergency_telephone_code 
smoking 
site_type 
site_name 
amenity atm
site 
siruta:county_code 
note:cadastre:id 
building houseboat
sidewalk 
shelter_type 
shelter 
shape:plan 
genus:it 
converted_by 
service alley
seamark:rock:water_level 
station 
payment:cash 
seamark:light:range 
HFCS Urban Minor Arterial
seamark:notice:category 
seamark:light:colour 
natural beach
seamark:light:character 
seamark:distance_mark:category 
moped yes
seamark:buoy_lateral:shape 
memorial:text 
door yes
seamark:buoy_lateral:colour 
seamark:buoy_lateral:category 
landuse greenfield
seamark:beacon_lateral:system 
mapper mspray10
office insurance
history Retrieved from v1
seamark:beacon_isolated_danger:shape 
seamark 
produce timber
circumference 0.45
school:ML:cap 
salt 
sac_scale 
addr2:street 
tunnel 
leisure recreation_ground
ruins 
species:de 
route 
route_master 
rooms 
roof:shape 
roof:orientation:compass 
man_made yes
scvwd:ROUTEID 
roof:levels 
barrier 
roof:colour 
motorcar yes
power substation
stream 
residential 
handrail yes
playground 
age young
capacity 
map_size 
survey_point 
man_made 
sangis:TYPE 
natural sand
official_status ru:???????
massgis:FEE_OWNER 
gnis:fcode 
surface earth
LandPro08:LCLU 
map_type topo
waterway dam
line bay
motor_vehicle no
species:nl 
taxon Aesculus hippocastanum
leaf_cycle deciduous
siruta:name_sup 
operational_status 
redwood_city_ca:bld_gid 
noref yes
rednap:nodo 
okato:user 
access designated
dcgis:square 
gnis:county_id 
rcn_ref 
ramp 
railway:switch 
railway:signal:shunting:states 
reg_ref 
railway:signal:shunting:form 
junction roundabout
voltage 132000
railway:signal:position 
building yes
railway:signal:main:substitute_signal 
railway:signal:main:states 
golf_cart designated
subway 
species Platanus x acerifolia
restaurant 
description:en 
railway:signal:distant:height 
railway:signal:distant 
railway:ref 
tracks 1
railway:rail 
railway:milestone:emergency_brake_override 
railway:milestone:catenary_mast 
railway:lzb 
railway:bidirectional 
railway:ballastless 
destination:symbol 
name:right 
axle_load 22.5
highway road
plant_community:it 
protect_class 
priority_road 
power 
payment:maestro 
rcn 
population:census:1992 
pole 
school:ML:academie 
placement 
amenity pub
species Celtis australis
piste:type 
building ruins
golf water_hazard
pillar:type 
place isolated_dwelling
pcode 
payment:telephone_cards 
payment:mastercard 
rednap:numero 
network 
payment:electronic_purses 
payment:debit_cards 
office company
payment:american_express 
passenger_information_display 
passenger 
parking:lane:right 
colour yellow
surface unpaved
shelter no
parking:lane:left 
surface ground
surface sett
parking:lane:both 
ntd_id 
species 
par 
paloalto_ca:id 
ownership 
network NTF-5
osmc:name 
sidewalk both
osak:identifier 
organic 
leisure 
gst:feat_id 
uic_name 
REF 
usage industrial
amenity clock
surveillance:type 
damage:organization 
trailblazed 
par 4
destination:street 
substance 
railway:turnout_side 
train yes
railway:track_class 
landuse 
aeroway navigationaid
railway tram
seamark:beacon_lateral:colour 
genus Tilia
highway bridleway
landuse recreation_ground
official_status 
official_name 
footway 
rednap:posicion 
office 
parking 
object:street 
nvdb:date 
nsdi_code 
raba:id 
is_in:cercle 
male yes
note:de 
seamark:distance_mark:units 
power transformer
note:cadastre:building_use 
allotments 
clc:id 
water lake
railway:kvb 
est_width 3.0m?5.5m
tmc 
lamp_type electric
unmil:id 
building:material 
shop department_store
lbcs:activity:code 
network:guid 
natural 
nat_ref 
landuse retail
highway crossing
admin_level 2
salting:ref 
bridge:name 
street_cabinet 
advertising 
office lawyer
park_ride 
placement right_of:2
name_1 
name:tt 
building:overhang 
name:tr 
railway:signal:direction 
house detached
statscan:rbuid 
natural coastline
name:pt 
name:prefix:ru 
attraction animal
power tower
maintenance salting
piste:difficulty 
name:prefix 
sport volleyball
living_street 
highway cycleway
natural grassland
shoulder 
name:my 
name:mk 
light:count 
shop massage
gns_uni 
shop butcher
name:lt 
name:ko 
building:units 
roof:height 
name:kn 
highway mini_roundabout
name:ka 
power switch
switch 
name:ja-Latn 
url 
shop photo
name:it 
ref 
name:hy 
railway:signal:main:form 
name:fr 
name:eu 
embankment 
place square
tram yes
name:etymology:wikidata 
fire_hydrant:diameter 
site_type tumulus
rednap:latitud 
name:el 
massgis:ASSESS_LOT 
maritime 
contact:instagram 
railway:position:exact 
railway:preferred_direction 
name:ar 
man_made groyne
ski no
sangis:OBJECTID 
practicability 
seamark:buoy_lateral:system 
mtb:scale:imba 
mtb:scale 
mtb 
rating 
motorroad 
rcn yes
motorcycle 
HU:ed_direction 
mml:class 
colour 
place locality
minspeed 
military 
metcouncil:nroutes 
metcouncil:corner_loc 
bicycle yes
metcouncil:city_id 
route bus
seamark:topmark:shape 
railway:signal:minor:height 
memorial:type 
median 
genus Populus
osmc:symbol 
maxspeed:hgv 
maxstay 
maxspeed:forward 
maxspeed:advisory 
mooring 
distance 
landuse conservation
material 
traffic_sign:backward 
massgis:way_id 
man_made pipeline
memorial:addr 
massgis:PRIM_PURP 
cables 
power minor_line
massgis:POLY_ID 
massgis:POLY_CODE 
massgis:PALIS_ID 
protection_title 
is_in:municipality 
passenger_lines 
massgis:OS_ID 
plant:output:electricity 
species:fr 
amenity courthouse
boundary administrative
noexit 
massgis:OS_DEED_BO 
toll:hgv 
massgis:OBJECTID 
massgis:LEV_PROT 
maxspeed:trailer 
massgis:SITE_NAME 
colour blue
massgis:FEESYM 
massgis:DCAM_ID 
gauge 1520
import freemapkapor
massgis:ASSESS_MAP 
metcouncil:site_on 
mapper 
map 
design barrel
manhole 
male 
building:type 
genus Prunus
lojic:bgnum 
survey_point:zh 
local_code 
loc_name 
map_size region
mofa 
hgv:national_network 
rednap:longitud 
FLATE 
siruta:county 
building farm_auxiliary
artwork_type sculpture
light:colour 
recycling:cans 
shop alcohol
name_2 
circuits 
name:nl 
adot_name 
seamark:light:period 
shop hardware
lamp_flames 
ref_catastral 
snowplowing 
board_type 
designation public_footpath
chile:region 
building terrace
check_date 
door 
pump 
canvec:CODE 
sorting_name 
railway station
canoe 
gtfs_id 
cuisine italian
sport athletics
KSJ2:river_id 
camera:type 
camera:direction 
seamark:kystverket:reference 
